taxonID;TaxonomicGroup;YearPublished;Kingdom;Phylum;Class;Order;Family;Genus;Species;SpeciesnameAsPublished;vernacularName;RLCEurope;Criteria;IUCNCriteria;Reference;Biome;Biotope1;Biotope2;Cuddliness;Lifespan;Mobility;NutrientLevel;Spine;license;rightsHolder;accessRights;datasetName;locationID;locality;countryCode;occurrencestatus;threadStatus;RLCAsPublished;RLC;eventDate;language2
INBO:RL:VAL:AMP:2013:25;Amphibians;2013;Animalia;Chordata;Amphibia;Anura;Ranidae;Pelophylax;lessonae;Pelophylax lessonae;Poelkikker;LC;IUCN;"A2c;B2a(i)b(ii,iii)";Jooris_etal_2012;Aquatic;Limnophilous;NA;Low;Longlived;Low;Oligotrophic;Vertebrate;http://creativecommons.org/publicdomain/zero/1.0/;INBO;http://www.inbo.be/en/norms-for-data-use;Validated Red Lists of Flanders;http://marineregions.org/mrgid/2469;Flanders;BE;present;Near Threatened (NT);Bijna in gevaar;NT;to complete;nl
INBO:RL:VAL:AMP:2013:26;Amphibians;2013;Animalia;Chordata;Amphibia;Anura;Ranidae;Pelophylax;ridibundus;Pelophylax ridibundus;Europese meerkikker;LC;IUCN;NA;Jooris_etal_2012;Aquatic;Limnophilous;NA;Low;Longlived;Low;Eutrophic;Vertebrate;http://creativecommons.org/publicdomain/zero/1.0/;INBO;http://www.inbo.be/en/norms-for-data-use;Validated Red Lists of Flanders;http://marineregions.org/mrgid/2469;Flanders;BE;present;Least Concern (LC);Momenteel niet in gevaar;LC;to complete;nl
INBO:RL:VAL:AMP:2013:27;Amphibians;2013;Animalia;Chordata;Amphibia;Anura;Ranidae;Rana;arvalis;Rana arvalis;Heikikker;LC;IUCN;B2a(i)b(iii);Jooris_etal_2012;Aquatic;Heathlands;NA;Low;Longlived;Low;Oligotrophic;Vertebrate;http://creativecommons.org/publicdomain/zero/1.0/;INBO;http://www.inbo.be/en/norms-for-data-use;Validated Red Lists of Flanders;http://marineregions.org/mrgid/2469;Flanders;BE;present;Vulnerable (VU);Kwetsbaar;VU;to complete;nl
INBO:RL:VAL:AMP:2013:28;Amphibians;2013;Animalia;Chordata;Amphibia;Anura;Ranidae;Rana;temporaria;Rana temporaria;Bruine kikker;LC;IUCN;NA;Jooris_etal_2012;Aquatic;Eurytopic;NA;Low;Longlived;Low;Eutrophic;Vertebrate;http://creativecommons.org/publicdomain/zero/1.0/;INBO;http://www.inbo.be/en/norms-for-data-use;Validated Red Lists of Flanders;http://marineregions.org/mrgid/2469;Flanders;BE;present;Least Concern (LC);Momenteel niet in gevaar;LC;to complete;nl
INBO:RL:VAL:AMP:2013:29;Amphibians;2013;Animalia;Chordata;Amphibia;Caudata;Salamandridae;Salamandra;salamandra;Salamandra salamandra;Vuursalamander;LC;IUCN;"B2a(i)b(iii);C2a(i)";Jooris_etal_2012;Aquatic;Woodlands;NA;Low;Longlived;Low;Mesotrophic;Vertebrate;http://creativecommons.org/publicdomain/zero/1.0/;INBO;http://www.inbo.be/en/norms-for-data-use;Validated Red Lists of Flanders;http://marineregions.org/mrgid/2469;Flanders;BE;present;Vulnerable (VU);Kwetsbaar;VU;to complete;nl
INBO:RL:VAL:AMP:2013:30;Amphibians;2013;Animalia;Chordata;Amphibia;Caudata;Salamandridae;Triturus;cristatus;Triturus cristatus;Kamsalamander;LC;IUCN;"A2c;B2a(i)b(ii,iii)";Jooris_etal_2012;Aquatic;Limnophilous;NA;Low;Longlived;Low;Mesotrophic;Vertebrate;http://creativecommons.org/publicdomain/zero/1.0/;INBO;http://www.inbo.be/en/norms-for-data-use;Validated Red Lists of Flanders;http://marineregions.org/mrgid/2469;Flanders;BE;present;Vulnerable (VU);Kwetsbaar;VU;to complete;nl
INBO:RL:VAL:BIR:2004:157;BreedingBirds;2004;Animalia;Chordata;Aves;Accipitriformes;Accipitridae;Accipiter;gentilis;Accipiter gentilis;Havik;LC;Regional;NA;Devos_etal_2004;Terrestrial;Woodlands;NA;Low;Longlived;High;Mesotrophic;Vertebrate;http://creativecommons.org/publicdomain/zero/1.0/;INBO;http://www.inbo.be/en/norms-for-data-use;Validated Red Lists of Flanders;http://marineregions.org/mrgid/2469;Flanders;BE;present;Least Concern (LC);Momenteel niet bedreigd;LC;to complete;nl
INBO:RL:VAL:BIR:2004:158;BreedingBirds;2004;Animalia;Chordata;Aves;Accipitriformes;Accipitridae;Accipiter;nisus;Accipiter nisus;Sperwer;LC;Regional;NA;Devos_etal_2004;Terrestrial;Woodlands;NA;Low;Longlived;High;Mesotrophic;Vertebrate;http://creativecommons.org/publicdomain/zero/1.0/;INBO;http://www.inbo.be/en/norms-for-data-use;Validated Red Lists of Flanders;http://marineregions.org/mrgid/2469;Flanders;BE;present;Least Concern (LC);Momenteel niet bedreigd;LC;to complete;nl
INBO:RL:VAL:BIR:2004:159;BreedingBirds;2004;Animalia;Chordata;Aves;Passeriformes;Sylviidae;Acrocephalus;arundinaceus;Acrocephalus arundinaceus;Grote karekiet;LC;Regional;NA;Devos_etal_2004;SemiAquatic;Marshes;NA;High;Shortlived;High;Eutrophic;Vertebrate;http://creativecommons.org/publicdomain/zero/1.0/;INBO;http://www.inbo.be/en/norms-for-data-use;Validated Red Lists of Flanders;http://marineregions.org/mrgid/2469;Flanders;BE;present;Critically Endangered (CR);Met uitsterven bedreigd;CR;to complete;nl
INBO:RL:VAL:BIR:2004:160;BreedingBirds;2004;Animalia;Chordata;Aves;Passeriformes;Sylviidae;Acrocephalus;palustris;Acrocephalus palustris;Bosrietzanger;LC;Regional;NA;Devos_etal_2004;SemiAquatic;Marshes;NA;High;Shortlived;High;Eutrophic;Vertebrate;http://creativecommons.org/publicdomain/zero/1.0/;INBO;http://www.inbo.be/en/norms-for-data-use;Validated Red Lists of Flanders;http://marineregions.org/mrgid/2469;Flanders;BE;present;Least Concern (LC);Momenteel niet bedreigd;LC;to complete;nl
INBO:RL:VAL:BIR:2004:161;BreedingBirds;2004;Animalia;Chordata;Aves;Passeriformes;Sylviidae;Acrocephalus;schoenobaenus;Acrocephalus schoenobaenus;Rietzanger;LC;Regional;NA;Devos_etal_2004;SemiAquatic;Marshes;NA;High;Shortlived;High;Eutrophic;Vertebrate;http://creativecommons.org/publicdomain/zero/1.0/;INBO;http://www.inbo.be/en/norms-for-data-use;Validated Red Lists of Flanders;http://marineregions.org/mrgid/2469;Flanders;BE;present;Endangered (EN);Bedreigd;EN;to complete;nl
INBO:RL:VAL:BIR:2004:162;BreedingBirds;2004;Animalia;Chordata;Aves;Passeriformes;Sylviidae;Acrocephalus;scirpaceus;Acrocephalus scirpaceus;Kleine karekiet;LC;Regional;NA;Devos_etal_2004;SemiAquatic;Marshes;NA;High;Shortlived;High;Eutrophic;Vertebrate;http://creativecommons.org/publicdomain/zero/1.0/;INBO;http://www.inbo.be/en/norms-for-data-use;Validated Red Lists of Flanders;http://marineregions.org/mrgid/2469;Flanders;BE;present;Least Concern (LC);Momenteel niet bedreigd;LC;to complete;nl
INBO:RL:VAL:BIR:2004:164;BreedingBirds;2004;Animalia;Chordata;Aves;Passeriformes;Aegithalidae;Aegithalos;caudatus;Aegithalos caudatus;Staartmees;LC;Regional;NA;Devos_etal_2004;Terrestrial;Shrubs;NA;High;Shortlived;High;Eutrophic;Vertebrate;http://creativecommons.org/publicdomain/zero/1.0/;INBO;http://www.inbo.be/en/norms-for-data-use;Validated Red Lists of Flanders;http://marineregions.org/mrgid/2469;Flanders;BE;present;Least Concern (LC);Momenteel niet bedreigd;LC;to complete;nl
INBO:RL:VAL:BIR:2004:167;BreedingBirds;2004;Animalia;Chordata;Aves;Passeriformes;Alaudidae;Alauda;arvensis;Alauda arvensis;Veldleeuwerik;LC;Regional;NA;Devos_etal_2004;Terrestrial;Agriculture;NA;High;Shortlived;High;Eutrophic;Vertebrate;http://creativecommons.org/publicdomain/zero/1.0/;INBO;http://www.inbo.be/en/norms-for-data-use;Validated Red Lists of Flanders;http://marineregions.org/mrgid/2469;Flanders;BE;present;Vulnerable (VU);Kwetsbaar;VU;to complete;nl
INBO:RL:VAL:BIR:2004:168;BreedingBirds;2004;Animalia;Chordata;Aves;Coraciiformes;Alcedinidae;Alcedo;atthis;Alcedo atthis;IJsvogel;VU;Regional;NA;Devos_etal_2004;SemiAquatic;Rheophilous;NA;High;Shortlived;High;Eutrophic;Vertebrate;http://creativecommons.org/publicdomain/zero/1.0/;INBO;http://www.inbo.be/en/norms-for-data-use;Validated Red Lists of Flanders;http://marineregions.org/mrgid/2469;Flanders;BE;present;Least Concern (LC);Momenteel niet bedreigd;LC;to complete;nl
INBO:RL:VAL:BIR:2004:170;BreedingBirds;2004;Animalia;Chordata;Aves;Anseriformes;Anatidae;Anas;acuta;Anas acuta;Pijlstaart;LC;Regional;NA;Devos_etal_2004;SemiAquatic;Marshes;NA;High;Shortlived;High;Mesotrophic;Vertebrate;http://creativecommons.org/publicdomain/zero/1.0/;INBO;http://www.inbo.be/en/norms-for-data-use;Validated Red Lists of Flanders;http://marineregions.org/mrgid/2469;Flanders;BE;present;Near Threatened (NT);Zeldzaam;NT;to complete;nl
INBO:RL:VAL:BIR:2004:171;BreedingBirds;2004;Animalia;Chordata;Aves;Anseriformes;Anatidae;Anas;clypeata;Anas clypeata;Slobeend;LC;Regional;NA;Devos_etal_2004;SemiAquatic;Marshes;NA;High;Shortlived;High;Eutrophic;Vertebrate;http://creativecommons.org/publicdomain/zero/1.0/;INBO;http://www.inbo.be/en/norms-for-data-use;Validated Red Lists of Flanders;http://marineregions.org/mrgid/2469;Flanders;BE;present;Least Concern (LC);Momenteel niet bedreigd;LC;to complete;nl
INBO:RL:VAL:BIR:2004:172;BreedingBirds;2004;Animalia;Chordata;Aves;Anseriformes;Anatidae;Anas;crecca;Anas crecca;Wintertaling;LC;Regional;NA;Devos_etal_2004;SemiAquatic;Marshes;NA;High;Shortlived;High;Eutrophic;Vertebrate;http://creativecommons.org/publicdomain/zero/1.0/;INBO;http://www.inbo.be/en/norms-for-data-use;Validated Red Lists of Flanders;http://marineregions.org/mrgid/2469;Flanders;BE;present;Least Concern (LC);Momenteel niet bedreigd;LC;to complete;nl
INBO:RL:VAL:BIR:2004:174;BreedingBirds;2004;Animalia;Chordata;Aves;Anseriformes;Anatidae;Anas;platyrhynchos;Anas platyrhynchos;Wilde Eend;LC;Regional;NA;Devos_etal_2004;SemiAquatic;Limnophilous;NA;High;Shortlived;High;Eutrophic;Vertebrate;http://creativecommons.org/publicdomain/zero/1.0/;INBO;http://www.inbo.be/en/norms-for-data-use;Validated Red Lists of Flanders;http://marineregions.org/mrgid/2469;Flanders;BE;present;Least Concern (LC);Momenteel niet bedreigd;LC;to complete;nl
INBO:RL:VAL:BIR:2004:175;BreedingBirds;2004;Animalia;Chordata;Aves;Anseriformes;Anatidae;Anas;querquedula;Anas querquedula;Zomertaling;LC;Regional;NA;Devos_etal_2004;SemiAquatic;Marshes;NA;High;Shortlived;High;Eutrophic;Vertebrate;http://creativecommons.org/publicdomain/zero/1.0/;INBO;http://www.inbo.be/en/norms-for-data-use;Validated Red Lists of Flanders;http://marineregions.org/mrgid/2469;Flanders;BE;present;Endangered (EN);Bedreigd;EN;to complete;nl
INBO:RL:VAL:BIR:2004:176;BreedingBirds;2004;Animalia;Chordata;Aves;Anseriformes;Anatidae;Anas;strepera;Anas strepera;Krakeend;LC;Regional;NA;Devos_etal_2004;SemiAquatic;Limnophilous;NA;High;Shortlived;High;Eutrophic;Vertebrate;http://creativecommons.org/publicdomain/zero/1.0/;INBO;http://www.inbo.be/en/norms-for-data-use;Validated Red Lists of Flanders;http://marineregions.org/mrgid/2469;Flanders;BE;present;Least Concern (LC);Momenteel niet bedreigd;LC;to complete;nl
INBO:RL:VAL:BIR:2004:178;BreedingBirds;2004;Animalia;Chordata;Aves;Anseriformes;Anatidae;Anser;anser;Anser anser;Grauwe gans;LC;Regional;NA;Devos_etal_2004;SemiAquatic;Marshes;NA;High;Longlived;High;Eutrophic;Vertebrate;http://creativecommons.org/publicdomain/zero/1.0/;INBO;http://www.inbo.be/en/norms-for-data-use;Validated Red Lists of Flanders;http://marineregions.org/mrgid/2469;Flanders;BE;present;Least Concern (LC);Momenteel niet bedreigd;LC;to complete;nl
INBO:RL:VAL:BIR:2004:180;BreedingBirds;2004;Animalia;Chordata;Aves;Passeriformes;Prunellidae;Anthus;campestris;Anthus campestris;Duinpieper;LC;Regional;NA;Devos_etal_2004;Terrestrial;Dunes;NA;High;Shortlived;High;Oligotrophic;Vertebrate;http://creativecommons.org/publicdomain/zero/1.0/;INBO;http://www.inbo.be/en/norms-for-data-use;Validated Red Lists of Flanders;http://marineregions.org/mrgid/2469;Flanders;BE;present;Regionally Extinct (REX);Uitgestorven;RE;to complete;nl
INBO:RL:VAL:BIR:2004:181;BreedingBirds;2004;Animalia;Chordata;Aves;Passeriformes;Prunellidae;Anthus;pratensis;Anthus pratensis;Graspieper;NT;Regional;NA;Devos_etal_2004;Terrestrial;Grasslands;NA;High;Shortlived;High;Eutrophic;Vertebrate;http://creativecommons.org/publicdomain/zero/1.0/;INBO;http://www.inbo.be/en/norms-for-data-use;Validated Red Lists of Flanders;http://marineregions.org/mrgid/2469;Flanders;BE;present;Endangered (EN);Bedreigd;EN;to complete;nl
INBO:RL:VAL:BIR:2004:182;BreedingBirds;2004;Animalia;Chordata;Aves;Passeriformes;Prunellidae;Anthus;trivialis;Anthus trivialis;Boompieper;LC;Regional;NA;Devos_etal_2004;Terrestrial;Heathlands;NA;High;Shortlived;High;Oligotrophic;Vertebrate;http://creativecommons.org/publicdomain/zero/1.0/;INBO;http://www.inbo.be/en/norms-for-data-use;Validated Red Lists of Flanders;http://marineregions.org/mrgid/2469;Flanders;BE;present;Endangered (EN);Bedreigd;EN;to complete;nl
INBO:RL:VAL:BIR:2004:183;BreedingBirds;2004;Animalia;Chordata;Aves;Apodiformes;Apodidae;Apus;apus;Apus apus;Gierzwaluw;LC;Regional;NA;Devos_etal_2004;Terrestrial;Anthropogenic;NA;High;Longlived;High;Eutrophic;Vertebrate;http://creativecommons.org/publicdomain/zero/1.0/;INBO;http://www.inbo.be/en/norms-for-data-use;Validated Red Lists of Flanders;http://marineregions.org/mrgid/2469;Flanders;BE;present;Least Concern (LC);Momenteel niet bedreigd;LC;to complete;nl
INBO:RL:VAL:BIR:2004:184;BreedingBirds;2004;Animalia;Chordata;Aves;Pelecaniformes;Ardeidae;Ardea;cinerea;Ardea cinerea;Blauwe Reiger;LC;Regional;NA;Devos_etal_2004;SemiAquatic;Marshes;NA;High;Longlived;High;Eutrophic;Vertebrate;http://creativecommons.org/publicdomain/zero/1.0/;INBO;http://www.inbo.be/en/norms-for-data-use;Validated Red Lists of Flanders;http://marineregions.org/mrgid/2469;Flanders;BE;present;Least Concern (LC);Momenteel niet bedreigd;LC;to complete;nl
INBO:RL:VAL:BIR:2004:186;BreedingBirds;2004;Animalia;Chordata;Aves;Strigiformes;Strigidae;Asio;flammeus;Asio flammeus;Velduil;LC;Regional;NA;Devos_etal_2004;Terrestrial;Grasslands;NA;High;Shortlived;High;Mesotrophic;Vertebrate;http://creativecommons.org/publicdomain/zero/1.0/;INBO;http://www.inbo.be/en/norms-for-data-use;Validated Red Lists of Flanders;http://marineregions.org/mrgid/2469;Flanders;BE;present;Near Threatened (NT);Zeldzaam;NT;to complete;nl
INBO:RL:VAL:BIR:2004:187;BreedingBirds;2004;Animalia;Chordata;Aves;Strigiformes;Strigidae;Asio;otus;Asio otus;Ransuil;LC;Regional;NA;Devos_etal_2004;Terrestrial;Woodlands;NA;High;Shortlived;High;Mesotrophic;Vertebrate;http://creativecommons.org/publicdomain/zero/1.0/;INBO;http://www.inbo.be/en/norms-for-data-use;Validated Red Lists of Flanders;http://marineregions.org/mrgid/2469;Flanders;BE;present;Least Concern (LC);Momenteel niet bedreigd;LC;to complete;nl
INBO:RL:VAL:BIR:2004:188;BreedingBirds;2004;Animalia;Chordata;Aves;Strigiformes;Strigidae;Athene;noctua;Athene noctua;Steenuil;LC;Regional;NA;Devos_etal_2004;Terrestrial;Agriculture;NA;High;Shortlived;High;Eutrophic;Vertebrate;http://creativecommons.org/publicdomain/zero/1.0/;INBO;http://www.inbo.be/en/norms-for-data-use;Validated Red Lists of Flanders;http://marineregions.org/mrgid/2469;Flanders;BE;present;Least Concern (LC);Momenteel niet bedreigd;LC;to complete;nl
INBO:RL:VAL:BIR:2004:189;BreedingBirds;2004;Animalia;Chordata;Aves;Anseriformes;Anatidae;Aythya;ferina;Aythya ferina;Tafeleend;VU;Regional;NA;Devos_etal_2004;SemiAquatic;Limnophilous;NA;High;Shortlived;High;Eutrophic;Vertebrate;http://creativecommons.org/publicdomain/zero/1.0/;INBO;http://www.inbo.be/en/norms-for-data-use;Validated Red Lists of Flanders;http://marineregions.org/mrgid/2469;Flanders;BE;present;Least Concern (LC);Momenteel niet bedreigd;LC;to complete;nl
INBO:RL:VAL:BIR:2004:190;BreedingBirds;2004;Animalia;Chordata;Aves;Anseriformes;Anatidae;Aythya;fuligula;Aythya fuligula;Kuifeend;LC;Regional;NA;Devos_etal_2004;SemiAquatic;Limnophilous;NA;High;Shortlived;High;Eutrophic;Vertebrate;http://creativecommons.org/publicdomain/zero/1.0/;INBO;http://www.inbo.be/en/norms-for-data-use;Validated Red Lists of Flanders;http://marineregions.org/mrgid/2469;Flanders;BE;present;Least Concern (LC);Momenteel niet bedreigd;LC;to complete;nl
INBO:RL:VAL:BIR:2004:192;BreedingBirds;2004;Animalia;Chordata;Aves;Pelecaniformes;Ardeidae;Botaurus;stellaris;Botaurus stellaris;Roerdomp;LC;Regional;NA;Devos_etal_2004;SemiAquatic;Marshes;NA;High;Longlived;High;Eutrophic;Vertebrate;http://creativecommons.org/publicdomain/zero/1.0/;INBO;http://www.inbo.be/en/norms-for-data-use;Validated Red Lists of Flanders;http://marineregions.org/mrgid/2469;Flanders;BE;present;Critically Endangered (CR);Met uitsterven bedreigd;CR;to complete;nl
INBO:RL:VAL:BIR:2004:197;BreedingBirds;2004;Animalia;Chordata;Aves;Accipitriformes;Accipitridae;Buteo;buteo;Buteo buteo;Buizerd;LC;Regional;NA;Devos_etal_2004;Terrestrial;Woodlands;NA;Low;Longlived;High;Eutrophic;Vertebrate;http://creativecommons.org/publicdomain/zero/1.0/;INBO;http://www.inbo.be/en/norms-for-data-use;Validated Red Lists of Flanders;http://marineregions.org/mrgid/2469;Flanders;BE;present;Least Concern (LC);Momenteel niet bedreigd;LC;to complete;nl
INBO:RL:VAL:BIR:2004:199;BreedingBirds;2004;Animalia;Chordata;Aves;Caprimulgiformes;Caprimulgidae;Caprimulgus;europaeus;Caprimulgus europaeus;Nachtzwaluw;LC;Regional;NA;Devos_etal_2004;Terrestrial;Heathlands;NA;High;Longlived;High;Oligotrophic;Vertebrate;http://creativecommons.org/publicdomain/zero/1.0/;INBO;http://www.inbo.be/en/norms-for-data-use;Validated Red Lists of Flanders;http://marineregions.org/mrgid/2469;Flanders;BE;present;Vulnerable (VU);Kwetsbaar;VU;to complete;nl
INBO:RL:VAL:BIR:2004:200;BreedingBirds;2004;Animalia;Chordata;Aves;Passeriformes;Fringillidae;Carduelis;cannabina;Carduelis cannabina;Kneu;LC;Regional;NA;Devos_etal_2004;Terrestrial;Shrubs;NA;High;Shortlived;High;Eutrophic;Vertebrate;http://creativecommons.org/publicdomain/zero/1.0/;INBO;http://www.inbo.be/en/norms-for-data-use;Validated Red Lists of Flanders;http://marineregions.org/mrgid/2469;Flanders;BE;present;Near Threatened (NT);Achteruitgaand;NT;to complete;nl
INBO:RL:VAL:BIR:2004:201;BreedingBirds;2004;Animalia;Chordata;Aves;Passeriformes;Fringillidae;Carduelis;carduelis;Carduelis carduelis;Putter;LC;Regional;NA;Devos_etal_2004;Terrestrial;Eurytopic;NA;High;Shortlived;High;Eutrophic;Vertebrate;http://creativecommons.org/publicdomain/zero/1.0/;INBO;http://www.inbo.be/en/norms-for-data-use;Validated Red Lists of Flanders;http://marineregions.org/mrgid/2469;Flanders;BE;present;Least Concern (LC);Momenteel niet bedreigd;LC;to complete;nl
INBO:RL:VAL:BIR:2004:202;BreedingBirds;2004;Animalia;Chordata;Aves;Passeriformes;Fringillidae;Carduelis;chloris;Carduelis chloris;Groenling;LC;Regional;NA;Devos_etal_2004;Terrestrial;Eurytopic;NA;High;Shortlived;High;Eutrophic;Vertebrate;http://creativecommons.org/publicdomain/zero/1.0/;INBO;http://www.inbo.be/en/norms-for-data-use;Validated Red Lists of Flanders;http://marineregions.org/mrgid/2469;Flanders;BE;present;Least Concern (LC);Momenteel niet bedreigd;LC;to complete;nl
INBO:RL:VAL:BIR:2004:203;BreedingBirds;2004;Animalia;Chordata;Aves;Passeriformes;Fringillidae;Carduelis;flammea;Carduelis flammea cabaret;Kleine barmsijs;LC;Regional;NA;Devos_etal_2004;Terrestrial;Shrubs;NA;High;Shortlived;High;Mesotrophic;Vertebrate;http://creativecommons.org/publicdomain/zero/1.0/;INBO;http://www.inbo.be/en/norms-for-data-use;Validated Red Lists of Flanders;http://marineregions.org/mrgid/2469;Flanders;BE;present;Near Threatened (NT);Zeldzaam;NT;to complete;nl
INBO:RL:VAL:BIR:2004:204;BreedingBirds;2004;Animalia;Chordata;Aves;Passeriformes;Fringillidae;Carduelis;spinus;Carduelis spinus;Sijs;LC;Regional;NA;Devos_etal_2004;Terrestrial;Woodlands;NA;High;Shortlived;High;Mesotrophic;Vertebrate;http://creativecommons.org/publicdomain/zero/1.0/;INBO;http://www.inbo.be/en/norms-for-data-use;Validated Red Lists of Flanders;http://marineregions.org/mrgid/2469;Flanders;BE;present;Near Threatened (NT);Zeldzaam;NT;to complete;nl
